date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:13	44290/44290	---MCZ	200	added ('OK')	text/html	etag:%22a0cee4c889bf4bc8a52c8d923622a9f8-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/index.html	(from )
09:56:13	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1673876402-ssl-df	https://kaleidoscopic-pie-2341a3.netlify.app/robots.txt		(from )
09:56:14	4128/4128	---M--	200	added ('OK')	image/png	etag:%2283a46f53558523a44907203078c0b884-ssl%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/apple-touch-icon.png	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/apple-touch-icon.png	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
09:56:14	652/652	---M--	200	added ('OK')	image/png	etag:%2236e36d5d982533938d94e06ac0c7f537-ssl%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/favicon-32x32.png	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/favicon-32x32.png	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
09:56:14	366/366	---M--	200	added ('OK')	image/png	etag:%2255693bb37af4d6fac9e40b007790e9f5-ssl%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/favicon-16x16.png	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/favicon-16x16.png	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
09:56:15	156196/156196	---M-Z	200	added ('OK')	text/css	etag:%22c16dd42144ce97a2b03de67d04f0cfea-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/bootstrap-custom.css	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/css/bootstrap-custom.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
09:56:15	46588/46588	---MCZ	200	added ('OK')	text/css	etag:%229dbf847a53a6e254fa9544b57f86dbb2-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/ionicons.min.css	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/css/ionicons.min.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
09:56:16	2058/2058	---M-Z	200	added ('OK')	text/css	etag:%221181eaf8eba05f22b5f896ac985d5ca9-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/tiny-slider.css	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/css/tiny-slider.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
09:56:16	3383/3383	---MCZ	200	added ('OK')	text/css	etag:%2217c9ace5c5753ae95f557a50fe5055aa-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/lity.min.css	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/css/lity.min.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
09:56:17	2706/2706	---M-Z	200	added ('OK')	text/css	etag:%2215e20bdc5f97385c2729a728968cf8e7-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/simplebar.min.css	C:/Users/DELL/OneDrive%20-%20American%20University%20of%20Phnom%20Penh/Desktop/Camcyber%20Basic%20website/Portfolio%20website%20camcyber/kaleidoscopic-pie-2341a3.netlify.app/template/css/simplebar.min.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
